,Run ID,Date,Time,Model Name,Model Author,Num Classes,Accuracy,Balanced Accuracy,AUC Score,Average Precision,F1 Score,Precision,Recall,Samples In Train,Samples In Test,Model Description,Column Predicted,Num Features Used,Data and Split Description,Normalized,Num Features Normalized,Feature Extraction,Was Untested Data Predicted,run,stain,num_dead,num_live,size
102,ap7lv8MXaRVOk,2019-07-23,17:38:20,random_forest_classification,Hamed,2,0.973,0.973,0.9940000000000001,0.993,0.973,0.958,0.99,48000,12000,"Random Forest: n_estimators=361, max_features=auto, criterion=entropy, min_samples_leaf=13, n_jobs=-1",class_label,12,r1c84xy5frkf3_r1c8ejr9kezva_stain,True,12,False,True,r1c84xy5frkf3_r1c8ejr9kezva,True,30000.0,30000.0,361.19184129778074
103,66vzbQvVEb69W,2019-07-23,20:19:51,random_forest_classification,Hamed,2,0.97,0.97,0.992,0.99,0.971,0.9540000000000001,0.988,48000,12000,"Random Forest: n_estimators=361, max_features=auto, criterion=entropy, min_samples_leaf=13, n_jobs=-1",class_label,9,r1c84xy5frkf3_r1c8ejr9kezva_no_stain,True,9,False,True,r1c84xy5frkf3_r1c8ejr9kezva,False,30000.0,30000.0,350.6557897319981
104,aWNJjpD15V6lB,2019-07-23,17:38:59,random_forest_classification,Hamed,2,0.983,0.983,0.998,0.998,0.983,0.986,0.98,48000,12000,"Random Forest: n_estimators=361, max_features=auto, criterion=entropy, min_samples_leaf=13, n_jobs=-1",class_label,12,r1cdfr36fb76a_r1cdjmabskps3_stain,True,12,False,True,r1cdfr36fb76a_r1cdjmabskps3,True,30000.0,30000.0,407.45419349259197
105,6pq8QZRjGN77Y,2019-07-23,20:21:33,random_forest_classification,Hamed,2,0.981,0.981,0.996,0.996,0.981,0.9790000000000001,0.983,48000,12000,"Random Forest: n_estimators=361, max_features=auto, criterion=entropy, min_samples_leaf=13, n_jobs=-1",class_label,9,r1cdfr36fb76a_r1cdjmabskps3_no_stain,True,9,False,True,r1cdfr36fb76a_r1cdjmabskps3,False,30000.0,30000.0,396.33162998156956
106,QW9eNQW3rG7j7,2019-07-23,17:41:47,random_forest_classification,Hamed,2,0.9890000000000001,0.9890000000000001,0.9990000000000001,0.9990000000000001,0.9890000000000001,0.991,0.987,48000,12000,"Random Forest: n_estimators=361, max_features=auto, criterion=entropy, min_samples_leaf=13, n_jobs=-1",class_label,12,r1ce3p4vgfu3p_r1ceebve8d6tc_stain,True,12,False,True,r1ce3p4vgfu3p_r1ceebve8d6tc,True,30000.0,30000.0,450.9860006183776
107,6D3my8Bg5qPQw,2019-07-23,18:35:01,random_forest_classification,Hamed,2,0.981,0.981,0.996,0.9940000000000001,0.981,0.9740000000000001,0.988,48000,12000,"Random Forest: n_estimators=361, max_features=auto, criterion=entropy, min_samples_leaf=13, n_jobs=-1",class_label,9,r1ce3p4vgfu3p_r1ceebve8d6tc_no_stain,True,9,False,True,r1ce3p4vgfu3p_r1ceebve8d6tc,False,30000.0,30000.0,396.33162998156956
108,668WRNv7kEy1N,2019-07-23,17:42:36,random_forest_classification,Hamed,2,0.981,0.981,0.997,0.996,0.981,0.9790000000000001,0.983,48000,12000,"Random Forest: n_estimators=361, max_features=auto, criterion=entropy, min_samples_leaf=13, n_jobs=-1",class_label,12,r1cdfr5gjs72s_r1cdk2gjusax6_stain,True,12,False,True,r1cdfr5gjs72s_r1cdk2gjusax6,True,30000.0,30000.0,396.33162998156956
109,QOEwg1Q2vz3xD,2019-07-23,20:22:04,random_forest_classification,Hamed,2,0.9790000000000001,0.9790000000000001,0.997,0.996,0.9790000000000001,0.975,0.9840000000000001,48000,12000,"Random Forest: n_estimators=361, max_features=auto, criterion=entropy, min_samples_leaf=13, n_jobs=-1",class_label,9,r1cdfr5gjs72s_r1cdk2gjusax6_no_stain,True,9,False,True,r1cdfr5gjs72s_r1cdk2gjusax6,False,30000.0,30000.0,386.32328412587185
110,QMRYZoZ5OrZE3,2019-07-23,17:42:41,random_forest_classification,Hamed,2,0.996,0.996,1.0,1.0,0.995,0.993,0.996,39797,9950,"Random Forest: n_estimators=361, max_features=auto, criterion=entropy, min_samples_leaf=13, n_jobs=-1",class_label,12,r1cgbw9ww9g9h_r1cgjg8e8xeav_stain,True,12,False,True,r1cgbw9ww9g9h_r1cgjg8e8xeav,True,30000.0,19747.0,552.1460917862245
111,EWDDeRgMm3ZaA,2019-07-23,20:21:56,random_forest_classification,Hamed,2,0.996,0.996,1.0,0.9990000000000001,0.995,0.9940000000000001,0.996,39797,9950,"Random Forest: n_estimators=361, max_features=auto, criterion=entropy, min_samples_leaf=13, n_jobs=-1",class_label,9,r1cgbw9ww9g9h_r1cgjg8e8xeav_no_stain,True,9,False,True,r1cgbw9ww9g9h_r1cgjg8e8xeav,False,30000.0,19747.0,552.1460917862245
112,62Jaw93MVPy2M,2019-07-23,17:43:48,random_forest_classification,Hamed,2,0.9640000000000001,0.96,0.992,0.9670000000000001,0.892,0.8390000000000001,0.953,22260,5566,"Random Forest: n_estimators=361, max_features=auto, criterion=entropy, min_samples_leaf=13, n_jobs=-1",class_label,12,r1c5vac658fxn_r1c66qw595ydy_stain,True,12,False,True,r1c5vac658fxn_r1c66qw595ydy,True,23491.0,4335.0,332.4236340526029
113,5dQ8qmD5JJ2Q8,2019-07-23,20:22:07,random_forest_classification,Hamed,2,0.955,0.9440000000000001,0.986,0.948,0.867,0.812,0.9279999999999999,22260,5566,"Random Forest: n_estimators=361, max_features=auto, criterion=entropy, min_samples_leaf=13, n_jobs=-1",class_label,9,r1c5vac658fxn_r1c66qw595ydy_no_stain,True,9,False,True,r1c5vac658fxn_r1c66qw595ydy,False,23491.0,4335.0,310.1092789211816
114,QaBMA8PLN7EdD,2019-07-23,17:43:55,random_forest_classification,Hamed,2,0.963,0.963,0.992,0.9890000000000001,0.9640000000000001,0.951,0.977,48000,12000,"Random Forest: n_estimators=361, max_features=auto, criterion=entropy, min_samples_leaf=13, n_jobs=-1",class_label,12,r1c8xx94j94u7_r1c93ajvdzxz5_stain,True,12,False,True,r1c8xx94j94u7_r1c93ajvdzxz5,True,30000.0,30000.0,329.68373663379117
